ean,brand,productTitle,productImage,basis,kj,kcal,fat,carbs,protein,sugars,fiber,salt,saturatedFat,,,
8710466314321,Koopmans,Koopmans Tarwegriesmeel Naturel 500 g,https://files.vomar.nl/articles/Koopmans-Tarwegriesmeel-Naturel-500-g-8710466314321-1-637957266084630368.png,,494,117,1.1,20,4.7,13,,0.12,,,,
8710624300449,Unbranded, Voorgekookte Pofaardappelen met Knoflooksaus 500 g,https://files.vomar.nl/articles/-Voorgekookte-Pofaardappelen-met-Knoflooksaus-500-g-8710624300449-1-637957261754583179.png,,491,117,0.5,14.7,2,1.9,2.1,0.13,,,,
8710624320904,Unbranded,Maaltijdsalade Gerookte Zalm 450 g,https://files.vomar.nl/articles/Maaltijdsalade-Gerookte-Zalm-450-g-8710624320904-1-637957258139234710.png,,490,117,0.7,11.1,4.8,2.3,1.2,0.69,,,,
8712800017226,Mona,Mona mini Vanillesmaak pudding met aardbeiensaus 2 x 135 ml ,https://files.vomar.nl/articles/Mona-Mini-Vanille-Pudding-met-Aardbeiensaus-2-x-135-ml-8712800017226-1-637431051008318831.png,,492,117,2.1,20.1,3.9,17.7,,0.16,,,,
8718882488763,Vomar,Vomar Gulden Hoeve Kipreepjes Pittig 175 g,https://files.vomar.nl/articles/Vomar-Gulden-Hoeve-Kipreepjes-Pittig-175-g-8718882488763-1-638103647497516825.png,,499,118,2.4,1.6,21.9,1.1,,1,,,,
8410193006086,Mamma Lucia,Mamma Lucia Zwarte Olijven Zonder Pit 340 g,https://files.vomar.nl/articles/Mamma-Lucia-Zwarte-Olijven-Zonder-Pit-340-g-8410193006086-1-637957240217494028.png,,488,118,1.4,3.1,0.8,0,,2.5,,,,
8715000020096,Nescafé,"Nescafé Gold Typ Espresso 25 x 1,8 g",https://files.vomar.nl/articles/Nescaf-Gold-Typ-Espresso-25-x-1-8-g-8715000020096-1-638174304034969095.png,,484,118,0.1,3.1,7.8,3.1,34.1,0.25,,,,
8712100542633,Conimex,Conimex Boemboe Nasi Goreng 95 g,https://files.vomar.nl/articles/Conimex-Boemboe-Nasi-Goreng-95-g-8712100542633-1-637957255961088417.png,,497,119,2.2,17,6.6,1.7,,0.43,,,,
5039023006282,Vomar,Vomar Gekookte Runderlever ca. 155 g,https://files.vomar.nl/articles/Vomar-Gekookte-Runderlever-ca.-155-g-5039023006282-1-637957239580143939.png,,500,119,4,0.7,20,0.7,,2.5,,,,
87128246,Mona,Mona Griesmeelpudding met rode bessensaus 450 ml,https://files.vomar.nl/articles/Mona-Pudding-Griesmeel-met-Saus-450-ml-87128246-1-637575552416592320.png,,502,119,2.2,21.1,2.8,16.2,,0.23,,,,
